timestamp,retrieved,channel,kind,detail,clock_ok
,2023-08-26,err,restart_marker,line 583,0
,2023-08-26,err,restart_marker,line 486,0
,2023-08-26,err,restart_marker,line 189,0
,2023-08-26,err,restart_marker,line 658,0
,2023-08-26,err,restart_marker,line 647,0
,2023-08-26,err,restart_marker,line 650,0
,2023-08-26,err,restart_marker,line 1,0
,2023-08-26,err,restart_marker,line 489,0
,2023-08-26,err,restart_marker,line 657,0
,2023-08-26,err,restart_marker,line 389,0
,2023-08-26,err,restart_marker,line 653,0
,2023-08-26,err,restart_marker,line 656,0
,2023-08-26,err,restart_marker,line 289,0
,2023-08-26,in,restart_marker,line 7,0
,2023-08-26,in,restart_marker,line 6,0
,2023-08-26,in,restart_marker,line 4,0
,2023-08-26,in,restart_marker,line 12,0
,2023-08-26,in,restart_marker,line 11,0
,2023-08-26,in,restart_marker,line 9,0
,2023-08-26,in,restart_marker,line 10,0
,2023-08-26,in,restart_marker,line 2,0
,2023-08-26,in,restart_marker,line 13,0
,2023-08-26,in,restart_marker,line 8,0
,2023-08-26,in,restart_marker,line 1,0
,2023-08-26,in,restart_marker,line 3,0
,2023-08-26,in,restart_marker,line 5,0
,2023-08-26,out,restart_marker,line 317,0
,2023-08-26,out,restart_marker,line 251,0
,2023-08-26,out,restart_marker,line 43,0
,2023-08-26,out,restart_marker,line 212,0
,2023-08-26,out,restart_marker,line 155,0
,2023-08-26,out,restart_marker,line 242,0
,2023-08-26,out,restart_marker,line 453,0
,2023-08-26,out,restart_marker,line 94,0
,2023-08-26,out,restart_marker,line 336,0
,2023-08-26,out,restart_marker,line 345,0
,2023-08-26,out,restart_marker,line 393,0
,2023-08-26,out,restart_marker,line 346,0
,2023-08-26,out,restart_marker,line 424,0
,2023-08-26,out,restart_marker,line 413,0
,2023-08-26,out,restart_marker,line 279,0
,2023-08-26,out,restart_marker,line 382,0
,2023-08-26,out,restart_marker,line 347,0
,2023-08-26,out,restart_marker,line 281,0
,2023-08-26,out,restart_marker,line 84,0
,2023-08-26,out,restart_marker,line 348,0
,2023-08-26,out,restart_marker,line 295,0
,2023-08-26,out,restart_marker,line 100,0
,2023-08-26,out,restart_marker,line 360,0
,2023-08-26,out,restart_marker,line 283,0
,2023-08-26,out,restart_marker,line 280,0
,2023-08-26,out,restart_marker,line 452,0
,2023-08-26,out,restart_marker,line 96,0
,2023-08-26,out,restart_marker,line 232,0
,2023-08-26,out,restart_marker,line 178,0
,2023-08-26,out,restart_marker,line 402,0
,2023-08-26,out,restart_marker,line 278,0
,2023-08-26,out,restart_marker,line 32,0
,2023-08-26,out,restart_marker,line 125,0
,2023-08-26,out,restart_marker,line 102,0
